B_Req,R_Priority,FP,Complexity,Time,Cost
809,152,4,-0.023580719,1.1751897618260156,0.34602704870759515
810,223,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
811,152,2,-0.023580719,-0.800951334,-0.56689022
812,88,3,-1.244619821,0.3847333236909606,-0.992918279
813,138,4,-1.244619821,1.1751897618260156,-0.871195976
814,182,2,-0.023580719,-0.800951334,-0.56689022
815,169,4,-1.244619821,1.1751897618260156,-0.871195976
816,163,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
817,160,3,-0.023580719,0.3847333236909606,-0.019139859
818,142,2,-0.023580719,-0.800951334,-0.56689022
819,39,3,-0.023580719,0.3847333236909606,-0.019139859
820,120,4,1.1974583830783379,1.1751897618260156,1.563250073489697
821,79,2,-1.244619821,-0.800951334,-1.175501732
822,209,4,-1.244619821,1.1751897618260156,-0.871195976
823,142,3,-1.244619821,0.3847333236909606,-0.992918279
824,34,3,-1.244619821,0.3847333236909606,-0.992918279
825,34,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
826,88,3,-0.023580719,0.3847333236909606,-0.019139859
827,111,3,-0.023580719,0.3847333236909606,-0.019139859
828,126,3,-1.244619821,0.3847333236909606,-0.992918279
829,139,4,1.1974583830783379,1.1751897618260156,1.563250073489697
830,146,2,-0.023580719,-0.800951334,-0.56689022
831,233,3,-0.023580719,0.3847333236909606,-0.019139859
832,52,3,-1.244619821,0.3847333236909606,-0.992918279
833,66,4,-0.023580719,1.1751897618260156,0.34602704870759515
834,67,2,-1.244619821,-0.800951334,-1.175501732
835,111,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
836,74,2,-0.023580719,-0.800951334,-0.56689022
837,189,3,-1.244619821,0.3847333236909606,-0.992918279
838,75,2,-1.244619821,-0.800951334,-1.175501732
839,73,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
840,116,2,1.1974583830783379,-0.800951334,0.041721293
841,118,2,-0.023580719,-0.800951334,-0.56689022
842,147,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
843,121,3,-1.244619821,0.3847333236909606,-0.992918279
844,84,2,-1.244619821,-0.800951334,-1.175501732
845,142,4,-0.023580719,1.1751897618260156,0.34602704870759515
846,171,3,-0.023580719,0.3847333236909606,-0.019139859
847,165,3,-0.023580719,0.3847333236909606,-0.019139859
848,121,3,-0.023580719,0.3847333236909606,-0.019139859
849,4,3,-0.023580719,0.3847333236909606,-0.019139859
850,67,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
851,67,2,-1.244619821,-0.800951334,-1.175501732
852,84,2,-0.023580719,-0.800951334,-0.56689022
853,239,2,-0.023580719,-0.800951334,-0.56689022
854,115,3,-0.023580719,0.3847333236909606,-0.019139859
855,63,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
856,84,4,1.1974583830783379,1.1751897618260156,1.563250073489697
857,214,4,-1.244619821,1.1751897618260156,-0.871195976
858,69,3,-1.244619821,0.3847333236909606,-0.992918279
859,160,3,-0.023580719,0.3847333236909606,-0.019139859
860,106,3,-1.244619821,0.3847333236909606,-0.992918279
861,117,3,-1.244619821,0.3847333236909606,-0.992918279
862,147,3,-0.023580719,0.3847333236909606,-0.019139859
863,194,2,-0.023580719,-0.800951334,-0.56689022
864,92,2,-0.023580719,-0.800951334,-0.56689022
865,112,2,-1.244619821,-0.800951334,-1.175501732
866,184,4,-1.244619821,1.1751897618260156,-0.871195976
867,184,4,1.1974583830783379,1.1751897618260156,1.563250073489697
868,107,3,-1.244619821,0.3847333236909606,-0.992918279
869,140,2,-1.244619821,-0.800951334,-1.175501732
870,14,4,-1.244619821,1.1751897618260156,-0.871195976
871,228,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
872,221,2,1.1974583830783379,-0.800951334,0.041721293
873,99,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
874,116,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
875,105,3,-0.023580719,0.3847333236909606,-0.019139859
876,136,2,1.1974583830783379,-0.800951334,0.041721293
877,34,3,-0.023580719,0.3847333236909606,-0.019139859
878,99,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
879,139,3,-0.023580719,0.3847333236909606,-0.019139859
880,201,2,-0.023580719,-0.800951334,-0.56689022
881,27,2,-0.023580719,-0.800951334,-0.56689022
882,111,4,1.1974583830783379,1.1751897618260156,1.563250073489697
883,52,4,-0.023580719,1.1751897618260156,0.34602704870759515
884,61,3,-0.023580719,0.3847333236909606,-0.019139859
885,59,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
886,97,2,-0.023580719,-0.800951334,-0.56689022
887,175,3,-1.244619821,0.3847333236909606,-0.992918279
888,115,4,-0.023580719,1.1751897618260156,0.34602704870759515
889,42,4,-1.244619821,1.1751897618260156,-0.871195976
890,66,2,-1.244619821,-0.800951334,-1.175501732
891,144,2,-1.244619821,-0.800951334,-1.175501732
892,98,2,-0.023580719,-0.800951334,-0.56689022
893,140,2,1.1974583830783379,-0.800951334,0.041721293
894,88,4,-1.244619821,1.1751897618260156,-0.871195976
895,175,4,1.1974583830783379,1.1751897618260156,1.563250073489697
896,173,2,-0.023580719,-0.800951334,-0.56689022
897,74,3,-1.244619821,0.3847333236909606,-0.992918279
898,166,4,-0.023580719,1.1751897618260156,0.34602704870759515
899,102,3,-1.244619821,0.3847333236909606,-0.992918279
900,173,2,1.1974583830783379,-0.800951334,0.041721293
901,125,3,-0.023580719,0.3847333236909606,-0.019139859
902,79,3,-1.244619821,0.3847333236909606,-0.992918279
903,137,3,-1.244619821,0.3847333236909606,-0.992918279
904,214,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
905,186,4,-0.023580719,1.1751897618260156,0.34602704870759515
906,121,4,-0.023580719,1.1751897618260156,0.34602704870759515
907,145,3,-0.023580719,0.3847333236909606,-0.019139859
908,168,4,-1.244619821,1.1751897618260156,-0.871195976
909,137,3,-1.244619821,0.3847333236909606,-0.992918279
910,106,2,1.1974583830783379,-0.800951334,0.041721293
911,88,3,-1.244619821,0.3847333236909606,-0.992918279
912,60,2,-0.023580719,-0.800951334,-0.56689022
913,112,3,-1.244619821,0.3847333236909606,-0.992918279
914,79,2,-0.023580719,-0.800951334,-0.56689022
915,84,2,-0.023580719,-0.800951334,-0.56689022
916,123,2,-0.023580719,-0.800951334,-0.56689022
917,154,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
918,103,2,-0.023580719,-0.800951334,-0.56689022
919,89,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
920,218,2,-1.244619821,-0.800951334,-1.175501732
921,69,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
922,151,2,-0.023580719,-0.800951334,-0.56689022
923,149,3,-1.244619821,0.3847333236909606,-0.992918279
924,109,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
925,95,4,-0.023580719,1.1751897618260156,0.34602704870759515
926,36,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
927,218,3,-1.244619821,0.3847333236909606,-0.992918279
928,49,2,-1.244619821,-0.800951334,-1.175501732
929,149,4,-0.023580719,1.1751897618260156,0.34602704870759515
930,118,2,1.1974583830783379,-0.800951334,0.041721293
931,203,3,-0.023580719,0.3847333236909606,-0.019139859
932,153,2,1.1974583830783379,-0.800951334,0.041721293
933,130,3,-0.023580719,0.3847333236909606,-0.019139859
934,172,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
935,84,2,1.1974583830783379,-0.800951334,0.041721293
936,87,2,-1.244619821,-0.800951334,-1.175501732
937,77,4,1.1974583830783379,1.1751897618260156,1.563250073489697
938,63,2,-1.244619821,-0.800951334,-1.175501732
939,184,2,-1.244619821,-0.800951334,-1.175501732
940,85,2,1.1974583830783379,-0.800951334,0.041721293
941,172,3,-1.244619821,0.3847333236909606,-0.992918279
942,124,3,-0.023580719,0.3847333236909606,-0.019139859
943,102,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
944,101,3,-1.244619821,0.3847333236909606,-0.992918279
945,96,4,-0.023580719,1.1751897618260156,0.34602704870759515
946,98,2,-1.244619821,-0.800951334,-1.175501732
947,142,4,-0.023580719,1.1751897618260156,0.34602704870759515
948,86,2,-1.244619821,-0.800951334,-1.175501732
949,81,4,1.1974583830783379,1.1751897618260156,1.563250073489697
950,113,4,1.1974583830783379,1.1751897618260156,1.563250073489697
951,107,4,-1.244619821,1.1751897618260156,-0.871195976
952,18,3,-0.023580719,0.3847333236909606,-0.019139859
953,56,3,-1.244619821,0.3847333236909606,-0.992918279
954,67,3,-0.023580719,0.3847333236909606,-0.019139859
955,134,4,-1.244619821,1.1751897618260156,-0.871195976
956,174,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
957,197,2,1.1974583830783379,-0.800951334,0.041721293
958,131,4,-1.244619821,1.1751897618260156,-0.871195976
959,93,3,1.1974583830783379,0.3847333236909606,0.9546385610986461
960,151,4,-1.244619821,1.1751897618260156,-0.871195976
961,95,3,-1.244619821,0.3847333236909606,-0.992918279
